year,month,payment_system,volume,value,unit,note
2026,March,NEFT,939.04,5661604.25,"volume in million, value in rupees crore",
2026,March,RTGS,36.63,22131383.57,"volume in million, value in rupees crore",
2026,February,Bharat Bill Pay,249.22,125436.68,"volume in million, value in rupees crore",
2026,February,IMPS,336.09,642473.91,"volume in million, value in rupees crore",
2026,February,Internet Banking,352.13,13824038.29,"volume in million, value in rupees crore",
2026,February,Mobile,18683.48,3914508.82,"volume in million, value in rupees crore",
2026,February,NEFT,812.25,4251140.62,"volume in million, value in rupees crore",
2026,February,RTGS,30.47,17509377.04,"volume in million, value in rupees crore",
2026,February,UPI,20394.18,2684229.29,"volume in million, value in rupees crore",
2026,January,BHIM,183.0,22717.0,"volume in million, value in rupees crore",
2026,January,Bharat Bill Pay,264.02,133744.2,"volume in million, value in rupees crore",
2026,January,IMPS,374.03,672989.44,"volume in million, value in rupees crore",
2026,January,Internet Banking,372.67,13905642.77,"volume in million, value in rupees crore",
2026,January,Mobile,19903.02,4120742.54,"volume in million, value in rupees crore",
2026,January,NEFT,872.42,4329421.05,"volume in million, value in rupees crore",
2026,January,RTGS,31.58,17580603.95,"volume in million, value in rupees crore",
2026,January,UPI,21703.44,2833481.22,"volume in million, value in rupees crore",
2025,December,BHIM,165.1,20854.0,"volume in million, value in rupees crore",
2025,December,Bharat Bill Pay,266.62,135162.87,"volume in million, value in rupees crore",
2025,December,IMPS,379.94,662451.92,"volume in million, value in rupees crore",
2025,December,Internet Banking,375.77,15193135.38,"volume in million, value in rupees crore",
2025,December,Mobile,19874.09,4029352.06,"volume in million, value in rupees crore",
2025,December,NEFT,877.76,4376908.93,"volume in million, value in rupees crore",
2025,December,RTGS,31.64,19992108.13,"volume in million, value in rupees crore",
2025,December,UPI,21634.67,2796712.73,"volume in million, value in rupees crore",
2025,November,BHIM,147.1,18851.0,"volume in million, value in rupees crore",
2025,November,Bharat Bill Pay,257.09,133312.49,"volume in million, value in rupees crore",
2025,November,IMPS,368.93,615176.83,"volume in million, value in rupees crore",
2025,November,Internet Banking,352.71,11864143.2,"volume in million, value in rupees crore",
2025,November,Mobile,18778.72,3769403.23,"volume in million, value in rupees crore",
2025,November,NEFT,817.5,3834099.39,"volume in million, value in rupees crore",
2025,November,RTGS,28.37,15505696.44,"volume in million, value in rupees crore",
2025,November,UPI,20466.98,2631632.63,"volume in million, value in rupees crore",
2025,October,BHIM,135.9,20026.0,"volume in million, value in rupees crore",
2025,October,Bharat Bill Pay,263.44,137638.67,"volume in million, value in rupees crore",
2025,October,IMPS,403.59,641963.61,"volume in million, value in rupees crore",
2025,October,Internet Banking,380.34,13199799.11,"volume in million, value in rupees crore",
2025,October,Mobile,19001.01,3908175.43,"volume in million, value in rupees crore",
2025,October,NEFT,879.1,4273607.85,"volume in million, value in rupees crore",
2025,October,RTGS,29.56,17108665.76,"volume in million, value in rupees crore",
2025,October,UPI,20700.92,2727790.68,"volume in million, value in rupees crore",
2025,September,BHIM,119.85,16803.0,"volume in million, value in rupees crore",
2025,September,Bharat Bill Pay,254.34,126290.06,"volume in million, value in rupees crore",
2025,September,IMPS,394.38,596847.04,"volume in million, value in rupees crore",
2025,September,Internet Banking,375.54,13654297.88,"volume in million, value in rupees crore",
2025,September,Mobile,18100.86,3618113.91,"volume in million, value in rupees crore",
2025,September,NEFT,840.32,4265310.16,"volume in million, value in rupees crore",
2025,September,RTGS,27.96,18220475.32,"volume in million, value in rupees crore",
2025,September,UPI,19633.43,2489736.54,"volume in million, value in rupees crore",
2025,August,BHIM,108.62,15500.0,"volume in million, value in rupees crore",
2025,August,Bharat Bill Pay,257.66,127166.26,"volume in million, value in rupees crore",
2025,August,IMPS,477.26,597548.76,"volume in million, value in rupees crore",
2025,August,Internet Banking,363.81,11554722.66,"volume in million, value in rupees crore",
2025,August,Mobile,18442.2,3539155.56,"volume in million, value in rupees crore",
2025,August,NEFT,828.86,3785259.95,"volume in million, value in rupees crore",
2025,August,RTGS,25.85,14993006.55,"volume in million, value in rupees crore",
2025,August,UPI,20008.31,2485472.91,"volume in million, value in rupees crore",
2025,July,BHIM,94.64,14986.0,"volume in million, value in rupees crore",
2025,July,Bharat Bill Pay,259.77,129838.03,"volume in million, value in rupees crore",
2025,July,IMPS,482.19,631411.21,"volume in million, value in rupees crore",
2025,July,Internet Banking,398.76,12803198.17,"volume in million, value in rupees crore",
2025,July,Mobile,18036.8,3658440.69,"volume in million, value in rupees crore",
2025,July,NEFT,850.01,3993960.21,"volume in million, value in rupees crore",
2025,July,RTGS,27.65,16624623.66,"volume in million, value in rupees crore",
2025,July,UPI,19467.95,2508498.09,"volume in million, value in rupees crore",
2025,June,BHIM,79.64,12124.2,"volume in million, value in rupees crore",
2025,June,Bharat Bill Pay,249.71,120841.62,"volume in million, value in rupees crore",
2025,June,IMPS,448.1,606356.29,"volume in million, value in rupees crore",
2025,June,Internet Banking,363.58,12824960.5,"volume in million, value in rupees crore",
2025,June,Mobile,17064.01,3467471.08,"volume in million, value in rupees crore",
2025,June,NEFT,792.05,3764741.56,"volume in million, value in rupees crore",
2025,June,RTGS,25.37,16983277.89,"volume in million, value in rupees crore",
2025,June,UPI,18395.01,2403930.69,"volume in million, value in rupees crore",
2025,May,BHIM,70.96,11621.0,"volume in million, value in rupees crore",
2025,May,Bharat Bill Pay,258.11,125720.42,"volume in million, value in rupees crore",
2025,May,IMPS,463.66,640867.39,"volume in million, value in rupees crore",
2025,May,Internet Banking,366.87,11661241.2,"volume in million, value in rupees crore",
